3dge	sledged,sledges,sledging,sleds
6hammer	sledgehammered,sledgehammering,sledgehammers
3ep	@9h0,sleeps,@9h1,slept
5ing	@51t,@9gz
5y	sleepier,sleepies
4ve	sleeved,sleeves,sleeving
3igh	sleighed,sleighing,sleighs
6t	sleights
3nder	slendering
3w	p,@9gv,slewed,slewing,slews
2ice	sliced,slices,slicing
4k	slicked,slicker,slickest,slicking,slicks
3de	slid,slides,sliding
3ght	slighted,slighter,slightest,slighting,@9hb,slights
3m	slimmed,slimmer,slimmest,slimming,slims
4e	slimed,slimes,sliming,@9he
4y	slimier,slimiest
3ng	slinging,slings,slung
3p	@9hh,slipped,slipping,slips
4page	slippages
5er	slippered,slippering,slippers
3t	dp,slits,slitting
4her	slithered,slithering,slithers
3ver	slivered,slivering,slivers
2obber	slobbered,slobbering,slobbers
3gan	sloganned,slogans
3op	sloops
3pe	sloped,slopes,@9hs
4ing	@51t,@9hr
4py	sloppier,sloppiest
3t	slots,slotted,slotting
4h	@9hw,sloths
3uch	slouched,slouches,slouching
4gh	sloughed,sloughing,sloughs
3ven	@9i0
3w	slowed,slower,slowest,slowing,@9i2,slows
2ue	slued,slues,sluing
3g	slugged,slugging,slugs
4gard	sluggards
3ice	sluiced,sluices,sluicing
3m	slummed,slumming,slums
4ber	slumbered,slumbering,slumbers
4p	slumped,slumping,slumps
3r	slurred,slurring,slurs
4p	slurped,slurping,slurps
1mack	smacked,smacking,smacks
3ll	smaller,smallest
3rt	smarted,smarter,smartest,smarting,smarts
3sh	smashed,smashes,smashing
3ttering	@51t,smatter,smatterings
2ear	smeared,smearing,smears
3ll	smelled,smelling,smells,@9im,smelt
5y	smellier,smellies,smelliest
4ting	@51t,smelt
2ile	smiled,smiles,smiling
3rch	smirched,smirches,smirching
4k	smirked,smirking,smirks
2og	smogs
3ke	smoked,@9it,@9iu,smokes,@9iv
5r	@9iu
6s	s,@9it
4ing	@51t,@9is
3oth	smoothed,smoother,smoothest,smoothing,@9ix,smooths
3ther	smothered,smothering,smothers
2udge	smudged,smudges,smudging
3g	smugger,smuggest
4gle	smuggled,smuggles,smuggling
1nack	snacked,snacking,@9j3
5s	s3,@9j2
3g	snagged,snagging,snags
3il	snails
3ke	snaked,snakes,snaking
3p	snapped,snapping,snaps
4py	snappier,snappiest
3re	@3he,snared,snares,snaring
4l	snarled,snarling,snarls
3tch	snatched,snatches,snatching
2eak	sneaked,@9je,@9jf,sneaks
5er	sneakers
5ing	@51t,@9jd,sneakings
3er	sneered,sneering,sneers
4ze	sneezed,sneezes,sneezing
2icker	snickered,snickering,snickers
3de	snider
3ff	sniffed,sniffing,sniffs
3p	snipped,snipping,snips
4pet	snippets
3tch	snitched,snitches,snitching
2ob	@9jp,snobs
3re	snored,snores,snoring
3w	snowed,snowing,snows,@9jx
4ball	snowballed,snowballing,snowballs
4drift	snowdrifts
4flake	snowflakes
4man	snowmen
4storm	snowstorms
4y	snowiest,snowys
2ub	snubbed,snubbing,snubs
3g	snugged,snugger,snuggest,snugs
4gle	snuggled,snuggles,snuggling
1oak	soaked,soaking,soaks
3p	soaped,soaping,soaps
3r	soared,@9k6,soars
4ing	@51t,@9k5
2b	sobbed,sobbing,sobs
3er	sobered,sobering,sobers
2cial	@ha,@ax6
6ism	socialisms
8t	@9kd,socialists
4ety	@oa,@1wx,@1z5,@3ui,@3xe,societies
4ology	sociologies
3k	socked,socking,@9kj
4et	sockets
4s	s3,@9kh
2d	sodded,sodding,sods
3a	sodas
2fa	sofas
3t	@9kr,softer,softest,@9ks,@9kt
4en	softened,softening,softens
4ness	softnesses
4wood	softwoods
2ggy	soggiest
2il	soiled,soiling,soils
2journ	sojourned,sojourning,sojourns
2lace	solaced,solaces,solacing
3der	soldered,soldering,solders
4ier	soldiered,soldiering,soldiers
3e	soled,@9l4,soles,soling
4mn	@9l6
6ity	solemnities
3icit	solicited,soliciting,@9l8,solicits
7or	solicitors
4d	@9ld,solids
5arity	solidarities
5ify	solidified,solidifies,solidifying
4tary	solitaries
5ude	solitudes
3o	soloed,soloing,@9lh,solos
4ist	@9lg,soloists
3uble	@5gc,solubles
4tion	solutions
3ve	solved,solves,solving
5nt	solvents
